district,murder
Agra,178
Aligarh,179
Allahabad,132
Ambedkar Nagar,24
Amethi,36
Amroha,60
Auraiya,34
Azamgarh,68
Budaun,120
Baghpat,83
Bahraich,53
Ballia,36
Balrampur,28
Banda,42
Barabanki,57
Bareilly,132
Basti,31
Bijnor,84
Bulandshahr,171
Chandauli,20
Chitrakoot,33
Deoria,42
Etah,65
Etawah,55
Faizabad,32
Farrukhabad,58
Fatehpur,55
Firozabad,140
Gautam Buddha Nagar,104
Ghaziabad,166
Ghazipur,64
Gonda,45
Gorakhpur,113
Hamirpur,31
Hapur,42
Hardoi,79
Hathras,72
Jalaun,36
Jaunpur,55
Jhansi,68
Kannauj,39
Kanpur Dehat,46
Kanpur Nagar,137
Kasganj,20
Kaushambi,40
Lakhimpur Kheri,79
Kushinagar,36
Lalitpur,27
Lucknow,132
Maharajganj,33
Mahoba,27
Mainpuri,57
Mathura,86
Mau,28
Meerut,226
Mirzapur,25
Moradabad,90
Muzaffarnagar,137
Pilibhit,54
Pratapgarh,72
Rae Bareli,50
Rampur,54
Saharanpur,92
Sambhal,73
Sant Kabir Nagar,28
Shahjahanpur,88
Shamli,67
Shrawasti,15
Siddharth Nagar,17
Sitapur,91
Sonbhadra,32
Sant Ravi Das Nagar(Bhadohi),17
Sultanpur,53
Unnao,77
Varanasi,52
